,appid,name,release_date,developers,publishers,categories,genres,time_to_beat,Publishers Class,Wishlists,Followers,engagement_ratio,bayesian_score,Copies Sold,Price,Tags
33,107410,Arma 3,2013-09-12,['Bohemia Interactive'],['Bohemia Interactive'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Leaderboards', 'Includes level editor']","['Action', 'Simulation', 'Strategy']",19.0,AAA,1676400.0,736973.0,9.91140350877193,89.99784451698761,14882974.0,29.99,"[""Military"",""Action"",""Multiplayer"",""Shooter"",""Simulation"",""Realistic"",""First-Person"",""Open World"",""Tactical"",""FPS"",""War"",""Co-op"",""Strategy"",""Sandbox"",""Singleplayer"",""Moddable"",""Combat"",""Online Co-Op"",""Team-Based"",""Third-Person Shooter""]"
34,698780,Doki Doki Literature Club!,2017-10-06,['Team Salvato'],['Team Salvato'],"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet']","['Casual', 'Free To Play', 'Indie']",4.0,Indie,106700.0,159615.0,1.5238856490626327,95.99636231007418,8389118.0,0.0,"[""Psychological Horror"",""Visual Novel"",""Anime"",""Free to Play"",""Dating Sim"",""Cute"",""Horror"",""Dark"",""Story Rich"",""Romance"",""Singleplayer"",""Great Soundtrack"",""Gore"",""Violent"",""Indie"",""Sexual Content"",""First-Person"",""Memes"",""Casual"",""Adventure""]"
35,632360,Risk of Rain 2,2020-08-11,['Hopoo Games'],['Gearbox Publishing'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Indie']",6.5,AA,1491600.0,322747.0,8.064102564102564,92.99706468300651,10752465.0,24.99,"[""Third-Person Shooter"",""Action Roguelike"",""Multiplayer"",""Co-op"",""Action"",""Roguelite"",""Roguelike"",""Looter Shooter"",""Loot"",""Online Co-Op"",""Shooter"",""Difficult"",""Great Soundtrack"",""Third Person"",""Indie"",""Survival"",""Singleplayer"",""Soundtrack"",""Early Access"",""Bullet Hell""]"
36,255710,Cities: Skylines,2015-03-10,['Colossal Order Ltd.'],['Paradox Interactive'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']","['Simulation', 'Strategy']",25.86,AAA,1141800.0,824700.0,2.8396493941737564,92.99698381743826,17817762.0,29.99,"[""City Builder"",""Simulation"",""Building"",""Management"",""Strategy"",""Sandbox"",""Singleplayer"",""Moddable"",""Economy"",""Resource Management"",""Mod"",""Realistic"",""Replay Value"",""Casual"",""Modern"",""Real-Time with Pause"",""Family Friendly"",""Great Soundtrack"",""Funny"",""Action""]"
37,49520,Borderlands 2,2012-09-17,"['Gearbox Software', 'Aspyr (Mac)', 'Aspyr (Linux)']","['2K', 'Aspyr (Mac)', 'Aspyr (Linux)']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'RPG']",30.21,AAA,414700.0,294448.0,1.6948030453492222,94.99634945130168,16158645.0,19.99,"[""Loot"",""Shooter"",""Action"",""Multiplayer"",""Co-op"",""Looter Shooter"",""FPS"",""RPG"",""First-Person"",""Funny"",""Comedy"",""Open World"",""Combat"",""Online Co-Op"",""Adventure"",""Action RPG"",""Dark Humor"",""Singleplayer"",""Memes"",""Sci-fi""]"
38,72850,The Elder Scrolls V: Skyrim,2011-11-10,['Bethesda Game Studios'],['Bethesda Softworks'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",['RPG'],34.34,,,,,93.99635929729683,,,
39,294100,RimWorld,2018-10-17,['Ludeon Studios'],['Ludeon Studios'],"['Single-player', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","['Indie', 'Simulation', 'Strategy']",34.0,AA,2539900.0,590021.0,4.2552560373702795,96.99534500056835,6340678.0,34.99,"[""Colony Sim"",""Base Building"",""Survival"",""Strategy"",""Sandbox"",""Management"",""Building"",""Simulation"",""Singleplayer"",""Moddable"",""City Builder"",""Open World"",""Procedural Generation"",""2D"",""Sci-fi"",""Indie"",""Space"",""Tactical RPG"",""Cartoony"",""Western""]"
40,427520,Factorio,2020-08-14,['Wube Software LTD.'],['Wube Software LTD.'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']","['Casual', 'Indie', 'Simulation', 'Strategy']",49.47,AA,1992100.0,392577.0,4.623677649754059,96.99518077363392,5939267.0,35.0,"[""Automation"",""Base Building"",""Resource Management"",""Sandbox"",""Crafting"",""Strategy"",""Multiplayer"",""Survival"",""Management"",""Open World"",""Building"",""Co-op"",""2D"",""Moddable"",""Singleplayer"",""Trains"",""Simulation"",""Pixel Graphics"",""City Builder"",""Indie""]"
41,268910,Cuphead,2017-09-29,['Studio MDHR Entertainment Inc.'],['Studio MDHR Entertainment Inc.'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Indie']",9.5,AA,2506900.0,333026.0,1.6456140350877193,95.99526785490592,6879650.0,19.99,"[""Difficult"",""Cartoon"",""Co-op"",""Platformer"",""Great Soundtrack"",""Local Co-Op"",""2D"",""Multiplayer"",""Hand-drawn"",""Indie"",""Retro"",""Cartoony"",""Bullet Hell"",""Action"",""Shoot 'Em Up"",""Singleplayer"",""Side Scroller"",""Colorful"",""Funny"",""Souls-like""]"
42,203160,Tomb Raider,2013-03-04,"['Crystal Dynamics', 'Eidos-Montréal', 'Feral Interactive (Mac)', 'Nixxes']","['Crystal Dynamics', 'Feral Interactive (Mac)']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",11.35,AA,293700.0,197885.0,0.9719293188007964,95.99504592033524,13307906.0,14.99,"[""Adventure"",""Action"",""Female Protagonist"",""Third Person"",""Singleplayer"",""Story Rich"",""Third-Person Shooter"",""Multiplayer"",""Exploration"",""Action-Adventure"",""Quick-Time Events"",""Atmospheric"",""Puzzle"",""Shooter"",""Stealth"",""Cinematic"",""Platformer"",""RPG"",""Reboot"",""3D Vision""]"
