iter	RMSE
238	261064.7945
239	260852.1498
240	260640.7263
241	260142.611
242	259649.8949
243	258618.3446
244	258414.4747
245	257400.5291
246	256936.4226
247	256073.855
248	255281.1117
249	254483.447
250	254100.4723
251	253337.0437
252	252510.1016
253	252100.4338
254	251222.049
255	250901.1394
256	250166.3976
257	249552.5517
258	248769.0758
259	247854.6329
260	246941.3638
261	246625.6594
262	246295.7114
263	245453.2555
264	244670.3057
265	243907.4497
266	243185.3461
267	242622.9237
268	241960.7331
269	241137.826
270	240798.8216
271	239883.3598
272	239583.0091
273	239339.6126
274	238742.844
275	238441.6647
276	238159.8429
277	237475.9764
278	237050.7692
279	236483.6612
280	235833.7981
281	235228.0675
282	234372.426
283	233715.8021
284	232889.5585
285	232317.2061
286	231681.0989
287	231038.1304
288	230818.1642
289	230069.7998
290	229353.035
291	228793.0002
292	228193.6282
293	227590.5133
294	227098.7365
295	226617.1463
296	226139.0596
297	225268.5684
298	225008.7131
299	224315.2279
300	223804.3892
301	223241.5454
302	223032.3779
303	222830.8559
304	222197.3085
305	221819.4444
306	221265.8307
307	221026.2314
308	220235.4603
309	219760.0573
310	219258.9101
311	219091.5231
312	218859.5559
313	218714.502
314	218170.1855
315	218014.5107
316	217555.2099
317	216958.2238
318	216401.4024
319	216014.6291
320	215506.8115
321	215038.6662
322	214820.8015
323	214557.1254
324	214225.2796
325	213646.0587
326	213402.4806
327	212869.3093
328	212219.4764
329	211814.458
330	211575.484
331	211038.7567
332	210656.4811
333	210184.6511
334	209676.7629
335	208959.034
336	208344.7476
337	208207.9095
338	207876.3909
339	207731.5139
340	207456.1846
341	206883.9598
342	206606.0373
343	206059.3585
344	205968.7938
345	205528.7052
346	205290.7806
347	205179.1612
348	205058.4404
349	204951.914
350	204806.9719
351	204507.1384
352	204266.9624
353	204155.0258
354	203947.1587
355	203859.735
356	203471.1914
357	203211.1377
358	203128.0503
359	202657.9185
360	202329.1989
361	202151.5282
362	201543.8559
363	201024.5265
364	200340.5622
365	200265.7835
366	200089.1964
367	199863.5077
368	199395.989
369	199261.1096
370	199002.6309
371	198791.7014
372	198631.9617
373	198485.2661
374	198206.4832
375	197790.7648
376	197437.4163
377	197133.5681
378	196708.6709
379	196664.4808
380	196448.9511
381	196135.0772
382	195938.7491
383	195418.1363
384	194946.4547
385	194713.2279
386	194648.1547
387	194281.397
388	193957.8899
389	193725.0736
390	193518.0338
391	193336.436
392	193086.0557
393	192999.579
394	192928.0368
395	192400.0003
396	192249.9774
397	192182.6306
398	192051.1699
399	191820.8141
400	191762.798
401	191528.8488
402	191016.0521
403	190637.2086
404	190416.4917
405	190173.6243
406	189760.366
407	189613.6534
408	189261.8581
409	188859.5901
410	188741.9752
411	188712.0252
412	188575.0989
413	188132.5227
414	187959.0965
415	187561.2258
416	187266.6809
417	186894.5396
418	186707.0311
419	185969.4008
420	185569.6896
421	185232.5562
422	185133.2414
423	184710.8291
424	184339.3903
425	184063.2947
426	183755.6511
427	183386.9378
428	183152.1184
429	182712.3852
430	182643.1635
431	182516.7196
432	182184.4721
433	181872.8496
434	181768.0575
435	181545.1632
436	181017.4437
437	180730.9721
438	180458.9549
439	179952.0519
440	179663.3392
441	179246.8758
442	178983.1715
443	178608.4641
444	178355.7059
445	178003.4635
446	177636.552
447	177612.3239
448	177084.7737
449	176813.4339
450	176361.6359
451	176318.8132
452	176084.4525
453	175534.1945
454	175493.3383
455	175470.8085
456	175002.655
457	174672.6411
458	174509.0749
459	174398.0099
460	174160.5105
461	173749.4344
462	173503.1889
463	173109.076
464	173085.0685
465	172778.0288
466	172330.0733
467	172100.2933
468	171715.3078
469	171372.362
470	171011.7407
471	170829.8001
472	170790.9176
473	170644.5833
474	170365.7085
475	170325.8378
476	170156.979
477	170053.6055
478	169978.6279
479	169765.285
480	169666.8712
481	169595.4355
482	169237.0967
483	169175.0729
484	168733.3562
485	168455.9035
486	168315.1469
487	168021.3099
488	167783.1151
489	167589.0628
490	167192.0238
491	167161.2477
492	166757.3514
493	166476.3546
494	166179.2864
495	166084.5268
496	165802.8681
497	165539.8193
498	165455.2115
499	165421.2092
500	165251.7154
501	164866.2118
502	164637.505
503	164342.9685
504	164035.481
505	163736.544
506	163714.0792
507	163369.6355
508	162999.1178
509	162791.6767
510	162605.845
511	162180.0318
512	161835.348
513	161811.1142
514	161717.1662
515	161481.3332
516	161266.9586
517	161235.7014
518	160942.5639
519	160789.4409
520	160482.0363
521	160084.8035
522	159673.1694
523	159417.0719
524	159166.1254
525	159039.1647
526	158925.7106
527	158700.6775
528	158398.8892
529	157923.1148
530	157877.9725
531	157860.1247
532	157842.8452
533	157817.8267
534	157606.6019
535	157440.4897
536	157265.5151
537	157069.4499
538	156917.8004
539	156653.0491
540	156432.732
541	156352.2414
542	156118.1471
543	155962.3187
544	155685.0336
545	155392.4351
546	155281.0767
547	155046.3116
548	154938.6406
549	154733.1813
550	154317.959
551	154071.3639
552	153817.1478
553	153606.7064
554	153516.996
555	153329.0556
556	153169.4743
557	152945.5469
558	152842.905
559	152626.7856
560	152492.0542
561	152197.8841
562	152010.3193
563	151764.1486
564	151385.9616
565	151367.1696
566	151348.882
567	150939.7154
568	150861.0171
569	150569.739
570	150405.0154
571	150366.2795
572	150348.7625
573	150056.9572
574	150025.4146
575	149803.5093
576	149777.4394
577	149659.3145
578	149642.4116
579	149371.3636
580	149212.1105
581	148880.9801
582	148588.6238
583	148276.2135
584	148090.6083
585	147749.6488
586	147525.2922
587	147384.5382
588	147056.9962
589	146930.0379
590	146730.1324
591	146597.6193
592	146273.1314
593	146120.3795
594	146031.4108
595	145840.0472
596	145580.8453
597	145323.9757
598	145238.7242
599	144930.3325
600	144766.98
601	144649.2368
602	144487.0518
603	144103.3329
604	143888.6047
605	143620.5093
606	143327.9259
607	143199.8169
608	142892.8484
609	142711.6252
610	142596.2327
611	142499.9262
612	142339.5352
613	142084.0117
614	142067.5132
615	141792.9048
616	141526.2997
617	141228.6817
618	141164.4114
619	140789.4754
620	140545.6132
621	140272.9388
622	139952.7055
623	139461.3642
624	139445.973
625	139271.3838
626	139005.6699
627	138761.3067
628	138630.8727
629	138588.4189
630	138455.9902
631	138440.0817
632	138305.7511
633	138265.4369
634	138025.6178
635	138010.4042
636	137779.2107
637	137571.3438
638	137483.0315
639	137167.2616
640	136923.9329
641	136583.0407
642	136348.3931
643	136121.1693
644	135843.863
645	135788.6596
646	135552.9797
647	135404.7677
648	135135.423
649	135044.8955
650	134831.2013
651	134738.0309
652	134575.0579
653	134460.845
654	134320.1924
655	134253.5479
656	134139.202
657	134077.432
658	133929.9169
659	133777.1664
660	133652.9697
661	133421.7417
662	133169.7375
663	133110.3356
664	132783.2127
665	132637.4427
666	132373.3275
667	132147.8799
668	132090.503
669	131835.6632
670	131806.9978
671	131631.703
672	131494.3476
673	131379.6101
674	131359.7981
675	131073.4697
676	131065.6334
677	130956.6869
678	130906.5093
679	130835.2321
680	130784.4946
681	130693.4643
682	130566.2055
683	130375.9442
684	130330.0536
685	130302.1331
686	130100.5933
687	129838.5456
688	129483.4835
689	129429.0235
690	129376.5078
691	129259.8791
692	128954.2928
693	128941.1834
694	128897.6246
695	128855.2988
696	128758.3439
697	128708.2238
698	128494.0614
699	128381.4603
700	128305.4858
701	128116.5695
702	128051.3198
703	127862.6819
704	127697.2362
705	127656.5532
706	127537.5115
707	127279.8866
708	127041.065
709	127002.584
710	126857.0206
711	126819.5315
712	126810.8822
713	126727.2698
714	126645.1009
715	126607.331
716	126407.77
717	126308.8287
718	126269.4604
719	126203.4788
720	125957.1115
721	125882.838
722	125743.5892
723	125696.5502
724	125631.4737
725	125593.3261
726	125574.9725
727	125355.4826
728	125317.3534
729	125038.2358
730	124903.7393
731	124869.321
732	124723.2688
733	124715.3472
734	124554.1837
735	124508.8049
736	124307.4218
737	124256.6214
738	124086.9482
739	123999.2643
740	123926.4629
741	123788.1854
742	123774.3431
743	123740.0229
744	123691.5308
745	123563.6177
746	123474.9576
747	123465.071
748	123419.7004
749	123366.184
750	123320.1697
751	123261.1216
752	123208.8473
753	122911.6906
754	122845.5983
755	122647.9575
756	122485.0059
757	122342.2887
758	122238.3004
759	122131.3153
760	122088.4093
761	121855.9443
762	121818.8488
763	121705.1296
764	121610.8649
765	121387.1193
766	121105.8364
767	120970.8779
768	120766.9455
769	120611.57
770	120484.413
771	120411.5901
772	120326.0259
773	120156.2046
774	119974.0354
775	119959.7842
776	119666.3796
777	119593.8952
778	119481.7648
779	119290.6091
780	119220.3948
781	119048.904
782	118832.902
783	118659.2904
784	118575.0858
785	118394.4625
786	118191.6082
787	117976.5071
788	117718.3196
789	117465.514
790	117381.9142
791	117110.3233
792	116869.2882
793	116796.7748
794	116524.3365
795	116440.0529
796	116276.8166
797	116069.8794
798	116000.3724
799	115928.1461
800	115751.8583
801	115594.5463
802	115525.2531
803	115432.7335
804	115280.0806
805	115221.416
806	115155.5478
807	114954.1152
808	114828.6837
809	114820.1008
810	114653.2016
811	114526.0403
812	114442.7852
813	114372.1319
814	114198.202
815	114084.3373
816	113952.1513
817	113856.7631
818	113705.5757
819	113514.3028
820	113309.5574
821	113125.0958
822	112934.1239
823	112783.2161
824	112599.9629
825	112478.3845
826	112243.749
827	112125.423
828	111943.5721
829	111842.8601
830	111783.1846
831	111677.4242
832	111564.1982
833	111466.3288
834	111237.423
835	111087.7546
836	110982.3247
837	110925.1534
838	110826.9652
839	110731.4196
840	110702.4132
841	110666.1294
842	110549.3915
843	110435.2869
844	110394.9079
845	110328.6471
846	110262.8394
847	110182.039
848	110105.6039
849	109932.9463
850	109711.7462
851	109546.6389
852	109456.0316
853	109431.4838
854	109357.7292
855	109184.7763
856	109064.4748
857	108992.0148
858	108964.8383
859	108922.3804
860	108690.0185
861	108560.9964
862	108488.8744
863	108429.352
864	108307.0095
865	108197.0395
866	108018.1423
867	107959.4391
868	107856.0095
869	107821.5922
870	107719.2185
871	107436.2142
872	107210.6855
873	107138.848
874	107009.5219
875	106951.6198
876	106879.5573
877	106805.7668
878	106693.9409
879	106550.1394
880	106470.8051
881	106419.3588
882	106303.1204
883	106266.7866
884	106223.118
885	106134.439
886	106018.9252
887	105823.1973
888	105726.4405
889	105601.8415
890	105524.5086
891	105515.6254
892	105442.6278
893	105243.1852
894	105165.1594
895	104989.6007
896	104958.186
897	104778.4204
898	104746.6166
899	104636.7899
900	104488.7099
901	104444.4295
902	104249.5341
903	104166.7867
904	104096.7376
905	104012.1886
906	103872.1096
907	103658.8198
908	103476.6676
909	103348.5937
910	103196.2023
911	103034.7995
912	102977.0462
913	102860.6801
914	102729.8645
915	102664.7844
916	102627.9271
917	102562.607
918	102480.3052
919	102414.9296
920	102295.6121
921	102230.601
922	102177.6627
923	102067.5678
924	101970.488
925	101871.0528
926	101755.8132
927	101714.7467
928	101426.9104
929	101387.2256
930	101379.0625
931	101298.4288
932	101276.0503
933	101091.3488
934	100960.6942
935	100755.2632
936	100739.72
937	100550.2493
938	100479.1716
939	100451.6587
940	100373.4355
941	100202.1785
942	100150.8839
943	100117.3173
944	99983.52931
945	99872.14785
946	99816.32659
947	99667.34799
948	99604.77586
949	99550.98126
950	99492.05468
951	99376.86505
952	99302.30976
953	99112.74796
954	99087.04495
955	99054.61305
956	98819.21749
957	98699.3375
958	98620.14709
959	98561.42178
960	98494.87205
961	98467.28205
962	98392.99373
963	98304.43294
964	98250.18324
965	98131.02103
966	98094.71812
967	98018.19309
968	97852.59693
969	97802.51102
970	97772.56617
971	97737.86516
972	97638.77317
973	97487.11903
974	97429.2694
975	97347.95785
976	97344.81384
977	97303.47396
978	97236.21185
979	97198.9286
980	97076.34228
981	96979.5047
982	96899.59453
983	96799.97781
984	96698.79138
985	96597.7587
986	96491.77735
987	96435.89274
988	96395.498
989	96262.63431
990	96121.81564
991	95981.5988
992	95948.07343
993	95875.1771
994	95776.11564
995	95628.8146
996	95549.96517
997	95452.42584
998	95272.35289
999	95175.6537
